Station Type,Name,Latitude,Longitude
Transect,Transect: Underway sampling,-42.88,147.33
Sampling Station,Stn001,-57,112
Sampling Station,Stn002,-58,112
Sampling Station,Stn003,-59,112
Sampling Station,Stn004,-60,112
Sampling Station,Stn005,-61,112
Sampling Station,Stn006,-62,112
Sampling Station,Stn007 NEC,-62.75,112
Sampling Station,Stn008,-63,112
Sampling Station,Stn009,-63.25,112
Sampling Station,Stn010,-63.5,112
Sampling Station,Stn011 SEC,-63.75,112
Sampling Station,Stn012,-63.75,111.5
Sampling Station,Stn013,-63.75,111
Sampling Station,Stn014,-63.75,110.5
Sampling Station,Stn015 SWC,-63.75,110
Sampling Station,Stn016,-63.5,110
Sampling Station,Stn017,-63.25,110
Sampling Station,Stn018,-63,110
Sampling Station,Stn019 NWC,-62.75,110
Sampling Station,Stn020,-62.75,110.5
Sampling Station,Stn021,-62.75,111
Sampling Station,Stn022,-62.75,111.5
Sampling Station,Stn023 NEC,-62.75,111.9
Sampling Station,Stn026,-63,111.9
Sampling Station,Stn027,-63.25,111.9
Sampling Station,Centre Buoy,-63.25,111
Sampling Station,Stn028,-63.5,111.9
Sampling Station,Stn029 SEC,-63.75,111.9
Sampling Station,Stn South1,-64,111.9
Sampling Station,Stn South2,-64.25,111.9
Sampling Station,Stn030,-63.75,111.4
Sampling Station,Stn031,-63.75,110.9
Sampling Station,Stn032,-63.75,110.4
Sampling Station,Stn033 SWC,-63.75,109.9
Sampling Station,Stn036,-63.5,109.9
Sampling Station,Stn037,-63.25,109.9
Sampling Station,Stn038,-63,109.9
Sampling Station,Stn039 NWC,-62.75,109.9
Sampling Station,Stn040,-62.75,110.4
Sampling Station,Stn041,-62.75,110.9
Sampling Station,Stn042,-62.75,111.4
Sampling Station,Stn043 NEC,-62.75,111.8
Sampling Station,Stn044,-63,111.8
Sampling Station,Stn045,-63.25,111.8
Sampling Station,Stn046,-63.5,111.8
Sampling Station,Stn047 SEC,-63.75,111.8
Sampling Station,Stn South3,-64,111.8
Sampling Station,Stn South4,-64.25,111.8
Sampling Station,Hobart,-42.881905,147.323807
