Station Type,Name,Latitude,Longitude
Sampling Station,Hobart,-42.88,147.33
Sampling Station,Stn001,-59,112
Sampling Station,Stn002,-60,112
Sampling Station,Stn003,-61,112
Sampling Station,Stn004,-61.5,112
Sampling Station,Stn005,-61.66666667,112
Sampling Station,Stn006,-61.83333333,112
Sampling Station,Stn007,-62,112
Sampling Station,Stn008,-62.16666667,112
Sampling Station,Stn009,-62.33333333,112
Sampling Station,Stn010 NEC,-62.5,112
Sampling Station,Stn006,-62.66666667,112
Sampling Station,Stn007,-62.83333333,112
Sampling Station,Stn008,-63,112
Sampling Station,Stn009,-63.16666667,112
Sampling Station,Stn010,-63.33333333,112
Sampling Station,Stn011 SEC,-63.5,112
Sampling Station,Stn012 ,-63.5,111.5
Sampling Station,Stn015 SWC,-63.5,111
Sampling Station,Stn016,-63.33333333,111
Sampling Station,Stn017,-63.16666667,111
Sampling Station,Stn018,-63,111
Sampling Station,Stn019,-62.83333333,111
Sampling Station,Stn020,-62.66666667,111
Sampling Station,Stn019 NWC,-62.5,111
Sampling Station,Stn020,-62.5,111.5
Sampling Station,Stn023 NEC,-62.5,112
Sampling Station,Stn 24 Centre Buoy,-63,111.5
Sampling Station,Stn025 SEC,-63.5,112
Sampling Station,Stn026 South1 ICE,-64,112
Sampling Station,Stn027 South2 ICE,-64.25,112
Sampling Station,Stn028 SEC,-63.5,112
Sampling Station,Stn029,-63.5,111.5
Sampling Station,Stn032 SWC,-63.5,111
Sampling Station,Stn016,-63.33333333,111
Sampling Station,Stn017,-63.16666667,111
Sampling Station,Stn018,-63,111
Sampling Station,Stn019,-62.83333333,111
Sampling Station,Stn020,-62.66666667,111
Sampling Station,Stn019 NWC,-62.5,111
Sampling Station,Stn039,-62.5,111.5
Sampling Station,Stn010 NEC,-62.5,112
Sampling Station,Stn006,-62.66666667,112
Sampling Station,Stn007,-62.83333333,112
Sampling Station,Stn008,-63,112
Sampling Station,Stn009,-63.16666667,112
Sampling Station,Stn010,-63.33333333,112
Sampling Station,Stn011 SEC,-63.5,112
Sampling Station,Stn051 South3 ICE,-64,112
Sampling Station,Stn052 South4 ICE,-64.25,112
Sampling Station,Stn South053 (glider recovery),-60,112
Sampling Station,Hobart,-42.881905,147.323807
